Industry,ESG Risk Score,Environment Risk Score,Social Risk Score,Governance Risk Score,2019 Performance,Market Cap,Latitude,Longitude
Oil & Gas - Refining & Marketing,35.75,21.450000000000003,8.975,5.5,13.88422236925,30397500000.0,33.2513582,-93.57758774999999
Oil & Gas - Services,29.666666666666668,11.333333333333334,10.200000000000001,8.066666666666665,0.3171954626666669,24836666666.666668,29.7604267,-95.36980279999999
Oil & Gas E&P,29.666666666666668,14.0,7.666666666666667,7.666666666666667,-12.262915012999999,2743333333.3333335,51.0447331,-114.0718831
Oil & Gas Integrated,44.0,27.0,27.5,26.75,11.3301998035,111175000000.0,49.27212805,-23.24352945
Oil & Gas Midstream,44.0,39.0,38.0,60.0,-2.87660863,34300000000.0,32.7766642,-96.7969879
Online Media,25.22222222222222,3.322222222222223,12.377777777777778,9.31111111111111,32.565355868888894,307666666666.6667,39.59739956666667,-37.709803477777776
Packaged Foods,37.0,15.0,15.0,7.0,2.577188058,16800000000.0,45.5874727,-73.5970099
Packaging & Containers,19.857142857142858,13.22857142857143,2.2714285714285714,4.428571428571429,29.204143702857145,11655714285.714285,38.70529161428572,-85.4499799
Personal Services,15.0,0.0,10.0,5.0,14.33184302,8830000000.0,29.7604267,-95.36980279999999
Pollution & Treatment Controls,32.0,16.0,7.0,9.0,24.38324727,9920000000.0,50.8503396,4.3517103
REITs,16.485714285714284,4.582857142857142,5.6085714285714285,6.222857142857143,19.361309856714282,18998857142.857143,37.64953450285714,-92.95257760285715
REIT—Diversified,12.0,2.5,3.5,6.0,33.064936685,8365000000.0,48.97191975,4.22502875
REIT—Retail,18.0,5.0,6.0,6.0,12.43697479,8650000000.0,43.653226000000004,-79.3831843
Real Estate Services,19.6,3.0799999999999996,9.12,7.7,41.854075574,23352000000.0,38.817597420000006,-88.73042563999999
Restaurants,24.625,5.112500000000001,13.4,6.187499999999999,31.328769080625005,47062500000.0,39.4726052125,-91.6651067625
Retail - Apparel & Specialty,16.12,2.5480000000000005,8.144,5.428,19.58089692072,52331600000.0,39.20359341999999,-82.842813312
Retail - Defensive,19.875,3.6,10.0,6.2125,51.97013142974999,82480000000.0,36.745584775000005,-67.390588425
Semiconductor Equipment & Materials,13.0,4.0,3.0,6.0,92.25721785,113000000000.0,51.4176337,5.406020900000001
Semiconductors,22.571428571428573,8.514285714285714,6.752380952380953,7.333333333333333,62.03377580857142,57618571428.57143,38.655143357142855,-93.68477872380952
Software—Application,16.0,1.0,9.0,6.0,41.32111861,41000000000.0,48.787898999999996,2.190408
Specialty Chemicals,25.0,12.5,5.5,8.0,44.42402129,12865000000.0,49.905117849999996,4.11641505
Specialty Industrial Machinery,16.0,3.3333333333333335,5.333333333333333,7.666666666666667,34.58639035466667,26966666666.666668,47.87608066666667,1.923933
Specialty Retail,15.5,2.5,7.0,5.5,23.8091691215,7975000000.0,47.98045625,-37.3078801
Staffing & Employment Services,12.0,0.0,9.0,4.0,35.79446246,9640000000.0,52.338992600000005,4.9591888
Steel,38.25,15.825000000000001,14.775,7.75,-7.3209040165,9165000000.0,37.634655675,-82.5919631
Telecom Services,17.333333333333332,2.1666666666666665,8.0,7.333333333333333,0.9215608888333334,22808333333.333332,48.4275204,4.285724166666667
Tobacco Products,27.0,6.449999999999999,13.25,7.199999999999999,14.254702757499999,110350000000.0,39.126749950000004,-75.72101045
Transportation & Logistics,21.0,6.5699999999999985,10.010000000000002,4.550000000000001,25.6970190913,52050000000.0,39.68457316,-92.69935247999999
Travel & Leisure,22.0625,5.468750000000001,9.912499999999998,6.7437499999999995,21.207628318312498,22474375000.0,35.67783725,-91.42628710624999
Truck Manufacturing,35.0,8.2,17.3,9.6,38.4319216,26300000000.0,47.6101497,-122.2015159
Utilities - Independent Power Producers,31.5,11.65,12.2,7.85,40.2086989595,8990000000.0,37.0744678,-79.52835529999999
Utilities - Regulated,32.6,15.256666666666664,10.916666666666666,6.383333333333334,22.773311739266664,32565333333.333332,38.36467116999999,-85.64481157333333
Utilities—Diversified,34.0,15.5,11.0,8.0,21.280439185,26000000000.0,46.752688750000004,-30.6115084
Utilities—Renewable,85.0,82.0,86.0,90.0,34.96143959,10400000000.0,40.4167754,-3.7037902000000003
Waste Management,24.6,12.54,7.160000000000001,4.92,36.119662652,25814000000.0,39.611420980000005,-74.49319668000001
